CountryID,Country,HDI_2018,Mean_Schooling_2018,Know_abt_Sci_Q1,Understand_Sci_Q2,Disease_Sci_Q3,Poetry_Sci_Q4,LearnSci_Prim_Q5A,LearnSci_Sec_Q5B,LearnSci_Uni_Q5C,Sci_try_Inform_Q6,Health_try_knowMore_Q7,Sci_want_knowMore_Q8,Health_want_knowMore_Q9,Conf_NGOs_Q10A,Conf_Hosp_10B,Trust_Ppl_Q11A,Trust_Govt_Q11B,Trust_Scientists_Q11C,Trust_Journos_Q11D,Trust_Doctors_Q11E,Trust_NGOs_Q11F,Trust_Healers_Q11G,Trust_Science_Q12,Trust_Sci_Accuracy_Q13,Trust_UniScientists_Benefit_Q14A,Trust_UniScientists_Open_Q14B,Trust_CompnyScientists_benef_Q15A,TrustCompnyScientists_Open_Q15B,Scientists_benef_Q16,Scientists_benefYou_Q17,SciTech_improv_Q18,SciTech_Jobs_Q19,Trust_who_Q20,Trust_med_country_Q21,Trust_NursDocs_country_Q22,Vaccn_Knowledge_Heard_Vaccn_Q23,Vaccn_Knowledge_Child_Q24,Vaccn_RiskPercep_Q25,Vaccn_Knowledge_Effktv_Q26,Have_Child_Q27,Accept_Vaccn_4Child_Q28,Religion_D1,SciRelig_disag_Q29,Sci_Relig_choose_Q30,WGM_Index,WGM_Indexr,ViewOfScience,Age,AgeCategories,Gender,Education,Urban_Rural,Household_Income,Regions_Report,Subjective_Income,WBI,EMP_2010
1,United States,0.924,13.4,3.08474576271186,3.63609172482552,1.0160481444333,1.89012096774194,1.95486459378134,1.9000999000999,1.70707070707071,1.60418743768694,1.75646123260437,1.71155778894472,1.812,1.71085714285714,1.83050847457627,3.32670157068063,2.41044012282497,3.37603305785124,2.65432098765432,3.488,3.03578947368421,2.67374301675978,3.51356993736952,3.43496357960458,3.1677559912854,2.88369304556355,2.79547900968784,2.61401557285873,2.4216380182002,1.86530612244898,1.92893401015228,2.6305525460455,3.0081053698075,2.77716794731065,3.51983723296033,1.97810945273632,4.61836734693878,1.86728395061728,4.42798353909465,1.71471172962227,1.96704871060172,1.86147186147186,1.61354581673307,1.58293838862559,3.13898716614776,2.17273673257024,1.68486096807415,55.1998011928429,2.53976143141153,1.46123260437376,2.47347347347347,1.56350806451613,3.32107355864811,7,2.39611054247697,4,3.37673956262425
2,Egypt,0.696,7.2,2.21165644171779,2.91914022517912,1.0682382133995,1.72752420470263,1.94260204081633,1.65275142314991,1.44692737430168,1.16548940464178,1.29103726082578,1.49281314168378,1.58966565349544,1.61951219512195,1.6319514661274,3.263,NA,3.36748633879781,2.07372654155496,3.26726726726727,2.81081081081081,2.46421052631579,3.3072625698324,3.35785007072136,3.15235457063712,2.701171875,3.01212938005391,2.62335216572505,2.11255924170616,1.59541062801932,1.85354141656663,2.38555858310627,2.96978851963746,3.35154639175258,3.24643584521385,1.99399399399399,4.92346424974824,1.13278855975485,4.85611510791367,1.92884371029225,1.99863760217984,2,1.16796875,1.98347107438017,3.1581920903983,2.1864406779661,2.22617534942821,40.152,2.018,1.484,1.736,1.456,3.128,3,1.561,2,3.845
3,Morocco,0.667,5.5,2.01331967213115,2.25656565656566,1.14107883817427,1.53888888888889,1.51100811123986,1.44072524407252,1.10247933884298,1.25871172122492,1.46949327817994,1.83191489361702,1.88739669421488,1.57590966122961,1.33620689655172,2.90137857900318,2.19764397905759,2.89876880984952,2.41585535465925,2.74176408076514,2.59173126614987,2.2486308871851,3.26758620689655,3.18387553041018,3.04647887323944,2.90834697217676,2.98459383753501,2.84,1.8099730458221,1.55440414507772,1.83790849673203,2.64264705882353,2.68186874304783,2.85714285714286,3.04238258877434,1.98094282848546,4.86415882967607,1.33412042502952,4.58041112454655,1.9136786188579,1.98666666666667,2,1.38733431516937,1.94820717131474,3.01901769086871,2.03491620111732,2.51051051051051,39.7692307692308,1.994,1.66033966033966,1.379,1.45154845154845,3.07192807192807,3,1.73313192346425,2,4.61738261738262
4,Lebanon,0.757,8.7,2.74448897795591,3.42570281124498,1.03752535496957,1.66316894018888,1.93724279835391,1.86970172684458,1.61640211640212,1.34068136272545,1.36847389558233,1.52774974772957,1.60160965794769,1.58057630736393,1.70522006141249,2.96878147029204,2.01337448559671,2.89793702497286,2.45863125638407,3.18172690763052,2.57247132429614,2.24428274428274,3.23645833333333,3.22871794871795,3.04777070063694,2.72129319955407,2.78609062170706,2.54437229437229,2.09907120743034,1.64180672268908,1.78306878306878,2.26577042399173,2.93106995884774,3.17095777548919,3.36261491317671,1.992,4.87348178137652,1.46865364850976,4.58051282051282,1.89701492537313,1.98823529411765,1.99395770392749,1.55233853006682,1.61194029850746,2.94283732223413,1.97814776274714,2.24281150159744,41.819,2.041,1.508,1.923,1.47,3.221,13,1.74174174174174,3,3.411
5,Saudi Arabia,0.853,9.5,2.60098522167488,3.18558736426456,1.10625620655412,1.69405940594059,2,1.84938524590164,1.56209150326797,1.42786561264822,1.6003937007874,1.77165354330709,1.81496062992126,1.74526066350711,1.75453575240128,3.09480122324159,NA,3.3962472406181,2.38259833134684,3.14874371859296,3.09371428571429,2.40867579908676,3.36504161712247,3.25172413793103,3.19974554707379,3.00727802037846,3.14322916666667,3.02757619738752,2.45362903225806,1.90461847389558,1.93055555555556,2.68479355488419,2.71188118811881,NA,3.29840319361277,1.93694581280788,4.74105263157895,1.55755015839493,4.43570669500531,1.79541108986616,1.97007481296758,2,NA,NA,3.21165487421344,2.21462264150943,1.5734693877551,30.9429133858268,1.50891089108911,1.39173228346457,2.375,1.90157480314961,3.1998031496063,13,2.01296111665005,4,3.27755905511811
6,Jordan,0.735,10.4,2.50852557673019,3.29175050301811,1.0860103626943,1.76687116564417,1.97525773195876,1.81383647798742,1.42795698924731,1.35879396984925,1.62825651302605,1.71327967806841,1.833,1.42757821552723,1.62985685071575,2.84416924664603,2.69742489270386,2.92420212765957,2.39858490566038,3.06036217303823,2.26117647058824,2.31243358129649,3.22317596566524,3.14176663031625,2.89651162790698,2.59264126149803,2.68685714285714,2.53263707571802,1.95991561181435,1.57815845824411,1.75413223140496,2.48335123523093,2.78041237113402,3.11627906976744,3.16834677419355,1.981,4.84591836734694,1.36277602523659,4.67407407407407,1.92236842105263,1.99710144927536,2,1.44142259414226,1.94736842105263,2.85115530303409,1.89318181818182,2.39517014270033,40.2305389221557,1.98301698301698,1.55688622754491,1.92107892107892,1.70159680638723,3.14870259481038,13,1.508,3,4.41117764471058
8,Turkey,0.791,8,2.6237322515213,3.05679513184584,1.05623721881391,1.70217391304348,1.72736954206603,1.86219512195122,1.75463917525773,1.44637385086823,1.51269035532995,1.90339157245632,1.90707070707071,1.38713318284424,1.72275132275132,3.0082304526749,2.58096280087527,3.14023732470334,2.29689174705252,3.23265306122449,2.27322404371585,2.62778366914104,3.37472035794183,3.23734533183352,2.76877234803337,2.63725490196078,2.5906362545018,2.5719696969697,2.05976520811099,1.69784946236559,1.79224973089343,2.39661016949153,2.95670538542767,2.91995731056564,3.24820512820513,1.9078812691914,4.71672354948805,1.6518691588785,4.50404624277457,1.79626485568761,1.97202797202797,1.96559139784946,1.39696586599241,1.57954545454545,2.87288389513034,1.9,2.14317673378076,36.221,1.77263581488934,1.493,2.0960960960961,1.802,3.325,13,1.79331306990881,3,3.587
9,Pakistan,0.562,5.2,2.04940923737916,2.07427341227126,1.34969325153374,1.89428918590522,1.62266355140187,1.50564617314931,1.20026525198939,1.1129363449692,1.23571428571429,1.45886075949367,1.54098360655738,1.481220657277,1.79939516129032,3.30846774193548,2.56047516198704,2.96818181818182,2.70128354725788,3.165,2.46863905325444,2.79038854805726,2.82608695652174,2.86788154897494,2.85983510011779,2.75761266747868,2.74532710280374,2.65313653136531,2.1875,1.78684807256236,1.90795454545455,2.63376932223543,2.60806618407446,2.98535564853557,3.18079673135853,1.78063851699279,4.71370420624152,1.41355463347165,4.55555555555556,1.8952380952381,1.94188376753507,2,1.1452581032413,1.97457627118644,2.8423106497474,1.87773933102653,1.96568047337278,33.863,1.73847695390782,1.5,1.43543543543544,1.4,3.189,12,1.70682730923695,2,4.137
10,Indonesia,0.694,8,2.22978723404255,2.16139240506329,1.13236814891417,1.35995740149095,1.92964824120603,1.73645833333333,1.17948717948718,1.35685483870968,1.37941473259334,1.7010101010101,1.68832487309645,1.55238095238095,1.92083333333333,3.00844772967265,2.95938529088913,2.84088269454123,2.66706021251476,3.10970464135021,2.53132530120482,2.58064516129032,3.02372881355932,2.88520710059172,2.79828850855746,2.65710560625815,2.76744186046512,2.69401041666667,2.07573964497041,1.86244541484716,1.92857142857143,2.75946547884187,2.91032325338895,3.14881623449831,3.12882096069869,1.70612244897959,4.69106881405564,1.55737704918033,4.10182370820669,1.775,1.91263940520446,2,1.24869383490073,1.93589743589744,2.79216507176675,1.84090909090909,1.89225181598063,38.892,1.972,1.582,1.73573573573574,1.37,3.232,11,2.07809330628803,2,3.779
11,Bangladesh,0.608,5.8,2.26332622601279,2.69684638860631,1.1117136659436,1.65882352941176,1.83718244803695,1.64690026954178,1.16316639741519,1.18705763397371,1.3969696969697,1.6905737704918,1.79086294416244,1.67803837953092,1.8502024291498,3.18674698795181,3.24102564102564,3.17524644030668,3.00427807486631,3.30923694779116,2.80421052631579,1.90495449949444,3.23497267759563,3.25788900979325,3.14972067039106,2.89393939393939,3.08416389811739,2.87920298879203,2.23529411764706,1.88080168776371,1.9413612565445,2.90748898678414,2.75303643724696,3.22484599589322,3.24872057318321,1.98298298298298,4.94268167860798,1.08307692307692,4.92181069958848,1.84431137724551,1.95203488372093,2,1.12339930151339,1.9622641509434,3.11521106259389,2.13864628820961,1.7937701396348,34.959,1.757,1.499,1.5975975975976,1.158,3.131,12,1.88276553106212,2,4.257
12,United Kingdom,0.922,12.9,2.77677677677678,3.34371859296482,1.04954499494439,1.8918640576725,1.83248212461696,1.91935483870968,1.43693693693694,1.40261044176707,1.55767301905717,1.60764587525151,1.67274569402229,1.68122270742358,1.84717948717949,3.41396761133603,2.44512195121951,3.40225179119754,2.37603305785124,3.58032128514056,3.06979166666667,2.05810055865922,3.46036585365854,3.47171717171717,3.38617886178862,3.09567901234568,2.99289340101523,2.77104722792608,2.43518518518519,1.86604361370717,1.89155370177268,2.37065217391304,2.93775510204082,3.23030303030303,3.57401812688822,1.97286432160804,4.60647181628392,1.83263157894737,4.47373949579832,1.542,1.95969289827255,1.69230769230769,1.49839743589744,1.47222222222222,3.26735551075202,2.27923387096774,1.66984126984127,47.245,2.25881168177241,1.511,2.34712411705348,1.45490981963928,3.191,15,2.27850655903128,4,3.243
13,France,0.901,11.5,2.871,3.50400801603206,1.02710843373494,1.76337448559671,1.86102719033233,1.92611336032389,1.41979949874687,1.50504032258065,1.6619576185671,1.6307847082495,1.67947421638018,1.67634408602151,1.88516260162602,3.25227043390515,2.34323770491803,3.48515864892528,2.332995951417,3.63390170511535,3.02076843198339,2.153125,3.44979919678715,3.38297872340426,3.40909090909091,2.80349794238683,2.73076923076923,2.38358974358974,2.39473684210526,1.75689479060266,1.84552845528455,2.1993769470405,2.88223350253807,2.82631038026721,3.60965794768612,1.9749498997996,4.22623966942149,2.68879668049793,3.82279792746114,1.639,1.95432300163132,1.7016632016632,1.55345911949686,1.25,3.16140703517588,2.14572864321608,1.85905349794239,47.102,2.2567703109328,1.536,2.30360721442886,1.45090180360721,3.264,17,2.19105691056911,4,3.291
14,Germany,0.936,14.1,2.8186372745491,3.396,1.03718592964824,1.60062893081761,1.50836820083682,1.78958120531154,1.5812274368231,1.56870611835507,1.65865865865866,1.49237029501526,1.56526104417671,1.45290858725762,1.68976545842217,3.40510204081633,2.4750254841998,3.42166140904311,2.875,3.58710976837865,2.86100386100386,2.56873614190687,3.46868686868687,3.3298755186722,3.31467793030623,2.91149425287356,2.68074150360453,2.6737668161435,2.26259378349411,1.87875647668394,1.82627118644068,2.24203821656051,2.60063559322034,3.23270440251572,3.50304259634888,1.94889779559118,4.49046610169492,2.03948772678762,4.36179295624333,1.671,1.96703296703297,1.6928645294726,1.63563402889246,1.19230769230769,3.12865646258367,2.13673469387755,1.74172185430464,51.233,2.40220661985958,1.522,2.24096385542169,1.49094567404427,3.265,17,2.22324159021407,4,3.409
15,Netherlands,0.931,12.2,2.68706118355065,3.07336683417085,1.04714142427282,1.76494427558257,1.4504048582996,1.63380281690141,1.3878453038674,1.3963963963964,1.6023976023976,1.44144144144144,1.616,1.51983723296033,1.86733668341709,3.45271629778672,2.61738261738262,3.31923464249748,2.85943775100402,3.656,2.89123867069486,2.25734549138804,3.35864135864136,3.17717717717718,3.23023023023023,2.87106598984772,2.79476861167002,2.57258064516129,2.30190571715145,1.70262096774194,1.81735620585267,2.49081632653061,2.87057633973711,3.05511022044088,3.61261261261261,1.87074148296593,4.59628770301624,2.16279069767442,4.02093023255814,1.68631368631369,1.97470489038786,1.57200402819738,1.53564899451554,1.43494423791822,3.07834501167868,2.1021021021021,1.9665991902834,55.6883116883117,2.55044955044955,1.45454545454545,2.2920443101712,1.34170854271357,3.19080919080919,17,2.31653225806452,4,3.93306693306693
16,Belgium,0.916,11.8,2.792,3.53946053946054,1.02110552763819,1.771875,1.82909460834181,1.87229660144181,1.66259168704156,1.502,1.605,1.61253854059609,1.70866935483871,1.62428407789233,1.90163934426229,3.44657258064516,2.50657229524773,3.56619144602851,2.70481927710843,3.72781655034895,2.90672451193059,2.75564681724846,3.59817813765182,3.5152749490835,3.37895812053115,3.17560462670873,2.96615384615385,2.7956204379562,2.38492871690428,1.80212765957447,1.85042735042735,2.26565874730022,2.96457489878543,3.0252780586451,3.719,1.97107438016529,4.64171122994652,2.22977346278317,4.3780880773362,1.6394422310757,1.98389694041868,1.60677618069815,1.36380255941499,1.26506024096386,3.31823232323232,2.34141414141414,1.75510204081633,47.4153386454183,2.27091633466135,1.52689243027888,2.32734530938124,1.4001996007984,3.06474103585657,17,2.05115346038114,4,3.57868525896414
17,Spain,0.891,9.8,2.7703109327984,3.53869346733668,1.01303911735206,1.69631901840491,1.87462387161484,1.86761710794297,1.40212264150943,1.59259259259259,1.62625250501002,1.78851963746224,1.71171171171171,1.53693495038589,1.9007164790174,3.20724346076459,1.99078812691914,3.67810292633703,2.57128309572301,3.747,2.85831622176591,1.48657024793388,3.62448979591837,3.6319514661274,3.52182741116751,3.12539851222104,2.84162436548223,2.83104540654699,2.45025125628141,1.8530612244898,1.93128205128205,2.38269030239833,2.8917004048583,3.06882591093117,3.7434869739479,1.988,4.6,1.5971515768057,4.4026503567788,1.617,1.98193760262726,1.75656565656566,1.68055555555556,1.18115942028985,3.36497317236922,2.3682092555332,1.66871165644172,45.557,2.22022022022022,1.519,1.99297893681043,1.47542627883651,3.254,16,2.16363636363636,4,3.322
18,Italy,0.88,10.2,2.497,3.32032032032032,1.02911646586345,1.7204843592331,1.91549295774648,1.86769230769231,1.23665893271462,1.59578736208626,1.676,1.76032225579053,1.75626880641926,1.57610993657505,1.79837067209776,3.00508646998983,2.18793969849246,3.35116044399596,2.36592741935484,3.16733466933868,2.62795477903392,1.40596094552929,3.38693467336683,3.2883064516129,3.17587939698492,2.84892086330935,2.69300911854103,2.54048370136698,2.48380566801619,1.85845213849287,1.90155440414508,2.37002096436059,2.91454730417091,2.69371196754564,3.23023023023023,1.991,4.42682926829268,1.96443089430894,4.35162601626016,1.664,1.97667185069984,1.85642062689585,1.67399267399267,1.26766595289079,3.07275769745683,2.06425702811245,1.61213991769547,50.988,2.41541541541542,1.539,1.95987963891675,1.37875751503006,3.346,16,2.07630522088353,4,3.787
19,Poland,0.865,12.3,2.737108190091,3.59657947686117,1.07494866529774,1.59259259259259,1.89352818371608,1.84787735849057,1.49333333333333,1.24395161290323,1.29637096774194,1.44957983193277,1.53909465020576,1.63525498891353,1.73416407061267,3.01708542713568,2.54434250764526,3.18134171907757,2.70594262295082,3.20644511581067,2.98109243697479,2.39103232533889,3.18762886597938,3.13874614594039,3.17604166666667,3.00326086956522,3.0199370409234,2.93884120171674,2.33506763787721,1.79732739420935,1.87923728813559,2.12962962962963,2.73449401523395,2.72038420490928,3.2579001019368,1.88061224489796,4.61188811188811,1.62650602409639,4.53191489361702,1.644,1.96322241681261,1.98459958932238,1.48936170212766,1.3503937007874,3.10443298968969,2.11237113402062,1.80136208853575,44.148,2.15430861723447,1.519,2.11947791164659,1.342,3.194,14,2.0020202020202,4,3.066
20,Hungary,0.838,11.9,2.65489404641776,3.65330661322645,1.03024193548387,1.79704016913319,1.76525336091003,1.8625472887768,1.73357664233577,1.36161616161616,1.41649899396378,1.53207150368034,1.61825726141079,1.54671280276817,1.59914712153518,3.32482124616956,2.45377258235919,3.20085929108485,2.1602634467618,3.22903885480573,2.63390928725702,2.42721518987342,3.24449108079748,3.08236536430834,3.14144736842105,2.50121065375303,2.85284280936455,2.26210153482881,2.26142401700319,1.74502923976608,1.88197424892704,2.05548854041013,2.834375,2.7375132837407,3.20163766632549,1.96374622356495,4.80801687763713,1.53697749196141,4.54477611940298,1.759,1.99445983379501,1.82655246252677,1.30781010719755,1.408,2.9719664525364,2.01713062098501,1.91486810551559,55.296,2.51554663991976,1.604,1.97893681043129,1.439,3.162,14,1.55543710021322,4,3.748
21,Czech Republic,0.888,12.7,2.40490797546012,3.19611848825332,1.12473572938689,1.78255945639864,1.72018348623853,1.75358851674641,1.7311320754717,1.13969849246231,1.22837022132797,1.34665226781857,1.42210526315789,1.575,1.85106382978723,3.05613305613306,2.4898177920686,3.24919093851133,2.40296924708378,3.4857433808554,2.75379609544469,2.23642172523962,3.16845493562232,3.19288793103448,3.22505543237251,3.1079478054567,3.07215332581736,2.98557692307692,2.40084388185654,1.78516057585825,1.84228571428571,1.93848167539267,2.67741935483871,3.28448275862069,3.38061224489796,1.99186991869919,4.52637244348762,1.89746416758545,4.38966630785791,1.691,1.99281609195402,1.43383356070941,1.18340611353712,1.69565217391304,3.17315923105005,2.20892274211099,1.76404494382022,48.014,2.278,1.526,2.003003003003,1.391,3.177,14,1.85835995740149,4,3.501
22,Romania,0.811,11,2.5439672801636,3.05091649694501,1.04088050314465,1.43216630196937,1.83561643835616,1.84529702970297,1.60377358490566,1.36418511066398,1.58492462311558,1.79317476732161,1.86210418794688,1.51724137931034,1.63891779396462,2.97154471544715,1.84559585492228,3.18392070484582,2.56677181913775,3.08722109533469,2.47072072072072,1.94967177242888,3.23151125401929,3.20021645021645,3,2.88511137162954,2.76715410573678,2.70588235294118,1.95253863134658,1.55309218203034,1.85290889132821,2.3364161849711,2.66736621196222,2.27018299246502,3.26646090534979,1.96251266464032,4.68729989327641,1.89229024943311,4.41494252873563,1.75149700598802,1.94460227272727,1.99899295065458,1.47080291970803,1.46822742474916,3.01000363108388,2.05228758169935,2.39580764488286,52.2335329341317,2.4015984015984,1.60978043912176,1.95295295295295,1.38622754491018,3.22554890219561,14,1.77001013171226,3,4.05888223552894
23,Sweden,0.933,12.4,2.84824120603015,3.46370967741935,1.0974358974359,1.90276356192426,1.65274725274725,1.81748633879781,1.71243523316062,1.60965794768612,1.66766766766767,1.71241170534813,1.71715145436309,1.63709677419355,1.85388601036269,3.49479166666667,2.76374745417515,3.47687564234327,2.79529170931423,3.64616935483871,2.92008412197687,2.18542336548767,3.47777777777778,3.46977730646872,3.16419491525424,3.07349665924276,2.8347280334728,2.74463519313305,2.31099476439791,1.81808510638298,1.92221084953941,2.49889380530973,2.94444444444444,2.92173913043478,3.62816616008105,1.983,4.7425641025641,1.98343685300207,4.39896373056995,1.688,1.97496318114875,1.61686991869919,1.22920203735144,1.4,3.20105442176837,2.20918367346939,1.82314410480349,53.742,2.423,1.483,2.43245967741935,1.41741741741742,3.17,15,2.5025075225677,4,3.353
24,Greece,0.87,10.8,2.2640562248996,2.84903748733536,1.0162932790224,1.80411255411255,1.60528992878942,1.89949109414758,1.83283582089552,1.251,1.33066132264529,1.72052845528455,1.79355488418933,1.31381733021077,1.77540650406504,2.75075376884422,1.64322120285423,3.11076923076923,1.69989722507708,3.14328657314629,2.01618497109827,1.88727678571429,3.10604453870626,3.01185344827586,2.84139482564679,2.51880674448768,2.62471395881007,2.3377135348226,2.51422550052687,1.80194805194805,1.90276243093923,2.28571428571429,2.98165137614679,2.35632183908046,3.1947261663286,1.97389558232932,4.68459152016546,1.77542372881356,4.35497382198953,1.647,1.98897637795276,1.97771023302938,1.84427284427284,1.45700245700246,2.84006166122851,1.87704026115343,1.64491150442478,50.665,2.36947791164659,1.539,1.94494494494494,1.65,3.292,16,1.516,4,3.747
25,Denmark,0.929,12.6,2.971,3.506,1.025,1.81345565749235,1.68775100401606,1.52192066805846,1.271714922049,1.549,1.69469469469469,1.691,1.71471471471471,1.64609053497942,1.9105527638191,3.46006066734075,2.80421686746988,3.51769464105157,2.77331995987964,3.70570570570571,2.98486377396569,2.54183673469388,3.568,3.27154308617234,3.3436873747495,3.03121852970796,3.044,2.82146439317954,2.74022066198596,1.89078156312625,1.93781344032096,2.57377049180328,2.98996990972919,3.04616998950682,3.68191056910569,1.958,4.72936259143156,1.9390756302521,4.39016736401674,1.706,1.97142857142857,1.74643584521385,1.2909604519774,1.22842639593909,3.24124124124124,2.24324324324324,1.37788944723618,49.861,2.326,1.506,2.17019133937563,1.48797595190381,3.069,15,2.53614457831325,4,3.428
