Country;BCG_vacc_rates;Mean_Schooling_2018;HDI_2018;Countnum;SCI_KNOWLEDGE;TRUST_GOV;TRUS_SCIENTISTS; TRUST_SCI_ACCURACY;TRUST_SCI;VACCINE_KNOWLEDGE; ATTITUDE_VACC_IMP;ATTITUDE_VACC_EFF;ATTITUDE_VACC_SAFE;CHILDREN_VACC;RELIGION;SCIENCE_CONF_REL;BELIEVE_SCIENCE;WGM_Index;WGM_Indexr;ViewOfScience;Age;Gender;EDUC_LVL;INCOME_HOUSE;CHILD_ALIVE
Afghanistan;98;3,8;0,498;70;1,08125;1,337367625;1,747292419;1,825311943;1,89100346;0,990922844;3,803053435;3,743865031;3,643185299;0,973805855;1;0,080152672;0;2,793333333;1,924686192;2,490740741;36,40242057;0,518910741;0,290468986;3,232980333;1
Albania;99;10,0;0,785;83;1,057291667;1,403921569;1,417021277;2,034852547;1,925575101;0,835064935;3,8921875;3,241100324;2,96969697;0,9609375;0,986719788;0,365942029;7,827411168;2,707692308;1,709366391;2,746054519;54,91741935;0,392258065;0,655483871;3,197419355;1
Algeria;99;8,0;0,754;84;1,411885246;1,323851204;1,878859857;1,800480769;1,914549654;0,955010225;3,434497817;3,077625571;3,009029345;0,974082073;1;0,488262911;9,178217822;2,742424242;1,75;2,365333333;45,46693387;0,400801603;0,645621181;3,090180361;0,991983968
Argentina;93;9,9;0,825;87;1,113207547;0,923601637;2,128755365;2,172995781;2,166433566;0,965053763;3,903496503;3,614627286;3,629420085;0,983216783;0,938016529;0,456228956;11,04961832;3,059171598;1,997191011;2,350746269;49,44832215;0,31409396;0,696644295;3,111409396;0,998657718
Armenia;99;11,7;0,755;88;1,704244032;2,05890411;2,014858841;1,884671533;2,008608321;0,909454061;3,033742331;2,781758958;2,450406504;0,956454121;0,988126649;0,125;8,716049383;2,818627451;1,788643533;2,562171629;52,34868421;0,247368421;1,155263158;2,947368421;1
Australia;;12,9;0,939;47;1,703703704;1,46;2,436717663;2,484768212;2,502659574;0,980263158;3,784946237;3,63451087;3,441416894;0,96743555;0,668005355;0,509635974;10,55156951;3,254901961;2,285145889;1,676549865;65,20921053;0,410526316;1,291223404;2,938157895;0,998684211
Austria;97;12,1;0,908;89;1,682662539;1,597200622;2,329011345;2,263242376;2,395604396;0,894573643;3,131810193;2,99826087;2,618629174;0,905357143;0,791869919;0,688073394;18,44067797;3,08974359;2,159305994;1,752921536;53,13755796;0,483771252;1,251162791;3,145285935;0,99690881
Azerbaijan;97;10,7;0,757;90;1,675287356;2,415565345;2,117739403;2,194444444;2,272036474;0,971139971;3,321044547;3,128482972;3,0128;0,964968153;0,998569385;0,051671733;61,63333333;3,099173554;2,107644306;2,076648841;44,65428571;0,471428571;1,021428571;3,115714286;1
Bangladesh;99;5,8;0,608;11;1,10719755;2,287572254;2,13036566;2,206299213;2,174603175;0,980225989;3,957910015;3,933042213;3,918722787;0,952034884;1;0,095076401;0,017857143;3,110091743;2,109004739;1,811638591;39,66149506;0,469675599;0,491525424;2,942172073;0,997179126
Belarus;;12,3;0,808;71;1,823741007;1,591339648;2,01285347;2,011406844;2,083228247;0,957472661;3,066666667;2,717948718;2,471232877;0,970711297;0,93622142;0,57518797;34,48913043;3,014150943;1,947164948;1,625;52,38470729;0,407407407;1,293062201;3,045400239;0,982078853
